zip,City,County Name
76621,ABBOTT,HILL
79311,ABERNATHY,HALE
79601,ABILENE,TAYLOR
79602,ABILENE,TAYLOR
79603,ABILENE,TAYLOR
79604,ABILENE,TAYLOR
79605,ABILENE,TAYLOR
79606,ABILENE,TAYLOR
79608,ABILENE,TAYLOR
79697,ABILENE,TAYLOR
79698,ABILENE,TAYLOR
79699,ABILENE,TAYLOR
77326,ACE,POLK
79713,ACKERLY,MARTIN
75001,ADDISON,DALLAS
78101,ADKINS,BEXAR
79001,ADRIAN,OLDHAM
79220,AFTON,DICKENS
78330,AGUA DULCE,NUECES
79221,AIKEN,FLOYD
78516,ALAMO,HIDALGO
79002,ALANREED,GRAY
75410,ALBA,WOOD
76430,ALBANY,SHACKELFORD
76008,ALEDO,PARKER
78332,ALICE,JIM WELLS
78333,ALICE,JIM WELLS
77411,ALIEF,HARRIS
75002,ALLEN,COLLIN
75013,ALLEN,COLLIN
78935,ALLEYTON,COLORADO
79003,ALLISON,WHEELER
79830,ALPINE,BREWSTER
79831,ALPINE,BREWSTER
79832,ALPINE,BREWSTER
77412,ALTAIR,COLORADO
75925,ALTO,CHEROKEE
76009,ALVARADO,JOHNSON
77511,ALVIN,BRAZORIA
77512,ALVIN,BRAZORIA
76225,ALVORD,WISE
79101,AMARILLO,POTTER
79102,AMARILLO,POTTER
79103,AMARILLO,POTTER
79104,AMARILLO,POTTER
79105,AMARILLO,POTTER
79106,AMARILLO,POTTER
79107,AMARILLO,POTTER
79108,AMARILLO,POTTER
79111,AMARILLO,POTTER
79116,AMARILLO,POTTER
79117,AMARILLO,POTTER
79120,AMARILLO,POTTER
79124,AMARILLO,POTTER
79159,AMARILLO,POTTER
79178,AMARILLO,POTTER
79109,AMARILLO,RANDALL
79110,AMARILLO,RANDALL
79114,AMARILLO,RANDALL
79118,AMARILLO,RANDALL
79119,AMARILLO,RANDALL
79121,AMARILLO,RANDALL
79312,AMHERST,LAMB
77514,ANAHUAC,CHAMBERS
77830,ANDERSON,GRIMES
79714,ANDREWS,ANDREWS
77515,ANGLETON,BRAZORIA
77516,ANGLETON,BRAZORIA
75409,ANNA,COLLIN
75550,ANNONA,RED RIVER
79501,ANSON,JONES
79821,ANTHONY,EL PASO
79313,ANTON,HOCKLEY
75926,APPLE SPRINGS,TRINITY
76622,AQUILLA,HILL
78335,ARANSAS PASS,SAN PATRICIO
78336,ARANSAS PASS,SAN PATRICIO
76351,ARCHER CITY,ARCHER
76226,ARGYLE,DENTON
76001,ARLINGTON,TARRANT
76002,ARLINGTON,TARRANT
76003,ARLINGTON,TARRANT
76004,ARLINGTON,TARRANT
76005,ARLINGTON,TARRANT
76006,ARLINGTON,TARRANT
76007,ARLINGTON,TARRANT
76010,ARLINGTON,TARRANT
76011,ARLINGTON,TARRANT
76012,ARLINGTON,TARRANT
76013,ARLINGTON,TARRANT
76014,ARLINGTON,TARRANT
76015,ARLINGTON,TARRANT
76016,ARLINGTON,TARRANT
76017,ARLINGTON,TARRANT
76018,ARLINGTON,TARRANT
76019,ARLINGTON,TARRANT
76094,ARLINGTON,TARRANT
76096,ARLINGTON,TARRANT
78338,ARMSTRONG,KENEDY
75750,ARP,SMITH
78001,ARTESIA WELLS,LA SALLE
75411,ARTHUR CITY,LAMAR
78827,ASHERTON,DIMMIT
79502,ASPERMONT,STONEWALL
78002,ATASCOSA,BEXAR
75751,ATHENS,HENDERSON
75752,ATHENS,HENDERSON
75551,ATLANTA,CASS
76227,AUBREY,DENTON
78737,AUSTIN,HAYS
73301,AUSTIN,TRAVIS
73344,AUSTIN,TRAVIS
78701,AUSTIN,TRAVIS
78702,AUSTIN,TRAVIS
78703,AUSTIN,TRAVIS
78704,AUSTIN,TRAVIS
78705,AUSTIN,TRAVIS
78708,AUSTIN,TRAVIS
78709,AUSTIN,TRAVIS
78710,AUSTIN,TRAVIS
78711,AUSTIN,TRAVIS
78712,AUSTIN,TRAVIS
78713,AUSTIN,TRAVIS
78714,AUSTIN,TRAVIS
78715,AUSTIN,TRAVIS
78716,AUSTIN,TRAVIS
78718,AUSTIN,TRAVIS
78719,AUSTIN,TRAVIS
78720,AUSTIN,TRAVIS
78721,AUSTIN,TRAVIS
78722,AUSTIN,TRAVIS
78723,AUSTIN,TRAVIS
78724,AUSTIN,TRAVIS
78725,AUSTIN,TRAVIS
78726,AUSTIN,TRAVIS
78727,AUSTIN,TRAVIS
78728,AUSTIN,TRAVIS
78730,AUSTIN,TRAVIS
78731,AUSTIN,TRAVIS
78732,AUSTIN,TRAVIS
78733,AUSTIN,TRAVIS
78734,AUSTIN,TRAVIS
78735,AUSTIN,TRAVIS
78736,AUSTIN,TRAVIS
78738,AUSTIN,TRAVIS
78739,AUSTIN,TRAVIS
78741,AUSTIN,TRAVIS
78742,AUSTIN,TRAVIS
78744,AUSTIN,TRAVIS
78745,AUSTIN,TRAVIS
78746,AUSTIN,TRAVIS
78747,AUSTIN,TRAVIS
78748,AUSTIN,TRAVIS
78749,AUSTIN,TRAVIS
78750,AUSTIN,TRAVIS
78751,AUSTIN,TRAVIS
78752,AUSTIN,TRAVIS
78753,AUSTIN,TRAVIS
78754,AUSTIN,TRAVIS
78755,AUSTIN,TRAVIS
78756,AUSTIN,TRAVIS
78757,AUSTIN,TRAVIS
78758,AUSTIN,TRAVIS
78759,AUSTIN,TRAVIS
78760,AUSTIN,TRAVIS
78761,AUSTIN,TRAVIS
78762,AUSTIN,TRAVIS
78763,AUSTIN,TRAVIS
78764,AUSTIN,TRAVIS
78765,AUSTIN,TRAVIS
78766,AUSTIN,TRAVIS
78767,AUSTIN,TRAVIS
78768,AUSTIN,TRAVIS
78772,AUSTIN,TRAVIS
78774,AUSTIN,TRAVIS
78778,AUSTIN,TRAVIS
78717,AUSTIN,WILLIAMSON
78729,AUSTIN,WILLIAMSON
77950,AUSTWELL,REFUGIO
76623,AVALON,ELLIS
75554,AVERY,RED RIVER
75630,AVINGER,CASS
79503,AVOCA,JONES
76624,AXTELL,MCLENNAN
76098,AZLE,PARKER
76020,AZLE,TARRANT
77518,BACLIFF,GALVESTON
75412,BAGWELL,RED RIVER
75413,BAILEY,FANNIN
79504,BAIRD,CALLAHAN
75180,BALCH SPRINGS,DALLAS
76821,BALLINGER,RUNNELS
79718,BALMORHEA,REEVES
78003,BANDERA,BANDERA
76823,BANGS,BROWN
78339,BANQUETE,NUECES
75101,BARDWELL,ELLIS
77413,BARKER,HARRIS
78828,BARKSDALE,EDWARDS
76930,BARNHART,IRION
75102,BARRY,NAVARRO
79719,BARSTOW,WARD
76511,BARTLETT,BELL
78602,BASTROP,BASTROP
78829,BATESVILLE,ZAVALA
77519,BATSON,HARDIN
77404,BAY CITY,MATAGORDA
77414,BAY CITY,MATAGORDA
78340,BAYSIDE,REFUGIO
77523,BAYTOWN,CHAMBERS
77520,BAYTOWN,HARRIS
77521,BAYTOWN,HARRIS
77522,BAYTOWN,HARRIS
77417,BEASLEY,FORT BEND
77701,BEAUMONT,JEFFERSON
77702,BEAUMONT,JEFFERSON
77703,BEAUMONT,JEFFERSON
77704,BEAUMONT,JEFFERSON
77705,BEAUMONT,JEFFERSON
77706,BEAUMONT,JEFFERSON
77707,BEAUMONT,JEFFERSON
77708,BEAUMONT,JEFFERSON
77709,BEAUMONT,JEFFERSON
77710,BEAUMONT,JEFFERSON
77713,BEAUMONT,JEFFERSON
77720,BEAUMONT,JEFFERSON
77725,BEAUMONT,JEFFERSON
77726,BEAUMONT,JEFFERSON
75631,BECKVILLE,PANOLA
76021,BEDFORD,TARRANT
76022,BEDFORD,TARRANT
76095,BEDFORD,TARRANT
77831,BEDIAS,GRIMES
78102,BEEVILLE,BEE
78104,BEEVILLE,BEE
77401,BELLAIRE,HARRIS
77402,BELLAIRE,HARRIS
76228,BELLEVUE,CLAY
75414,BELLS,GRAYSON
77418,BELLVILLE,AUSTIN
78604,BELMONT,GONZALES
76513,BELTON,BELL
78342,BEN BOLT,JIM WELLS
75754,BEN WHEELER,VAN ZANDT
78341,BENAVIDES,DUVAL
76824,BEND,SAN SABA
79505,BENJAMIN,KNOX
78107,BERCLAIR,GOLIAD
78004,BERGHEIM,KENDALL
78605,BERTRAM,BURNET
79834,BIG BEND NATIONAL PARK,BREWSTER
76932,BIG LAKE,REAGAN
75755,BIG SANDY,UPSHUR
79720,BIG SPRING,HOWARD
79721,BIG SPRING,HOWARD
78830,BIG WELLS,DIMMIT
78005,BIGFOOT,FRIO
78343,BISHOP,NUECES
75555,BIVINS,CASS
79506,BLACKWELL,NOLAN
78606,BLANCO,BLANCO
76432,BLANKET,BROWN
79314,BLEDSOE,COCHRAN
78931,BLEIBLERVILLE,AUSTIN
77419,BLESSING,MATAGORDA
75556,BLOOMBURG,CASS
76626,BLOOMING GROVE,NAVARRO
77951,BLOOMINGTON,VICTORIA
75416,BLOSSOM,LAMAR
75424,BLUE RIDGE,COLLIN
76433,BLUFF DALE,ERATH
78607,BLUFFTON,LLANO
76627,BLUM,HILL
78006,BOERNE,KENDALL
78015,BOERNE,KENDALL
75417,BOGATA,RED RIVER
77420,BOLING,WHARTON
75928,BON WIER,NEWTON
75418,BONHAM,FANNIN
79005,BOOKER,LIPSCOMB
79007,BORGER,HUTCHINSON
79008,BORGER,HUTCHINSON
79009,BOVINA,PARMER
76230,BOWIE,MONTAGUE
76023,BOYD,WISE
79010,BOYS RANCH,OLDHAM
78832,BRACKETTVILLE,KINNEY
76825,BRADY,MCCULLOCH
76628,BRANDON,HILL
75420,BRASHEAR,HOPKINS
77422,BRAZORIA,BRAZORIA
76424,BRECKENRIDGE,STEPHENS
76629,BREMOND,ROBERTSON
77833,BRENHAM,WASHINGTON
77834,BRENHAM,WASHINGTON
77611,BRIDGE CITY,ORANGE
76426,BRIDGEPORT,WISE
78608,BRIGGS,BURNET
79011,BRISCOE,WHEELER
75929,BROADDUS,SAN AUGUSTINE
75930,BRONSON,SABINE
76933,BRONTE,COKE
75931,BROOKELAND,JASPER
76827,BROOKESMITH,BROWN
77423,BROOKSHIRE,WALLER
75421,BROOKSTON,LAMAR
79316,BROWNFIELD,TERRY
75756,BROWNSBORO,HENDERSON
78520,BROWNSVILLE,CAMERON
78521,BROWNSVILLE,CAMERON
78522,BROWNSVILLE,CAMERON
78523,BROWNSVILLE,CAMERON
78526,BROWNSVILLE,CAMERON
76801,BROWNWOOD,BROWN
76804,BROWNWOOD,BROWN
76630,BRUCEVILLE,MCLENNAN
78344,BRUNI,WEBB
77801,BRYAN,BRAZOS
77802,BRYAN,BRAZOS
77803,BRYAN,BRAZOS
77805,BRYAN,BRAZOS
77806,BRYAN,BRAZOS
77807,BRYAN,BRAZOS
77808,BRYAN,BRAZOS
76427,BRYSON,JACK
78609,BUCHANAN DAM,LLANO
76518,BUCKHOLTS,MILAM
78610,BUDA,HAYS
75831,BUFFALO,LEON
79508,BUFFALO GAP,TAYLOR
75757,BULLARD,SMITH
78163,BULVERDE,COMAL
77612,BUNA,JASPER
76354,BURKBURNETT,WICHITA
75932,BURKEVILLE,NEWTON
76028,BURLESON,JOHNSON
76097,BURLESON,JOHNSON
76519,BURLINGTON,MILAM
78611,BURNET,BURNET
77835,BURTON,WASHINGTON
79012,BUSHLAND,POTTER
76357,BYERS,CLAY
76631,BYNUM,HILL
79013,CACTUS,MOORE
76429,CADDO,STEPHENS
75135,CADDO MILLS,HUNT
77836,CALDWELL,BURLESON
75933,CALL,NEWTON
78007,CALLIHAM,MCMULLEN
77837,CALVERT,ROBERTSON
75934,CAMDEN,POLK
76520,CAMERON,MILAM
78833,CAMP WOOD,REAL
75422,CAMPBELL,HUNT
78008,CAMPBELLTON,ATASCOSA
79014,CANADIAN,HEMPHILL
75103,CANTON,VAN ZANDT
79835,CANUTILLO,EL PASO
79015,CANYON,RANDALL
79016,CANYON,RANDALL
78133,CANYON LAKE,COMAL
76435,CARBON,EASTLAND
76934,CARLSBAD,TOM GREEN
76436,CARLTON,HAMILTON
78932,CARMINE,FAYETTE
78834,CARRIZO SPRINGS,DIMMIT
75006,CARROLLTON,DALLAS
75011,CARROLLTON,DALLAS
75007,CARROLLTON,DENTON
75010,CARROLLTON,DENTON
75633,CARTHAGE,PANOLA
75636,CASON,MORRIS
76831,CASTELL,LLANO
78009,CASTROVILLE,MEDINA
78933,CAT SPRING,AUSTIN
78836,CATARINA,DIMMIT
75832,CAYUGA,ANDERSON
78612,CEDAR CREEK,BASTROP
75104,CEDAR HILL,DALLAS
75106,CEDAR HILL,DALLAS
77415,CEDAR LANE,MATAGORDA
78613,CEDAR PARK,WILLIAMSON
78630,CEDAR PARK,WILLIAMSON
75423,CELESTE,HUNT
75009,CELINA,COLLIN
75935,CENTER,SHELBY
78010,CENTER POINT,KERR
75833,CENTERVILLE,LEON
75758,CHANDLER,HENDERSON
77530,CHANNELVIEW,HARRIS
79018,CHANNING,HARTLEY
77426,CHAPPELL HILL,WASHINGTON
78011,CHARLOTTE,ATASCOSA
75105,CHATFIELD,NAVARRO
76832,CHEROKEE,SAN SABA
75936,CHESTER,TYLER
76431,CHICO,WISE
79201,CHILDRESS,CHILDRESS
79225,CHILLICOTHE,HARDEMAN
76632,CHILTON,FALLS
77613,CHINA,JEFFERSON
76633,CHINA SPRING,MCLENNAN
75937,CHIRENO,NACOGDOCHES
77838,CHRIESMAN,BURLESON
78012,CHRISTINE,ATASCOSA
76935,CHRISTOVAL,TOM GREEN
78108,CIBOLO,GUADALUPE
76437,CISCO,EASTLAND
79226,CLARENDON,DONLEY
75426,CLARKSVILLE,RED RIVER
79019,CLAUDE,ARMSTRONG
75637,CLAYTON,PANOLA
76031,CLEBURNE,JOHNSON
76033,CLEBURNE,JOHNSON
77327,CLEVELAND,LIBERTY
77328,CLEVELAND,LIBERTY
76634,CLIFTON,BOSQUE
79836,CLINT,EL PASO
77531,CLUTE,BRAZORIA
79510,CLYDE,CALLAHAN
79511,COAHOMA,HOWARD
77331,COLDSPRING,SAN JACINTO
76834,COLEMAN,COLEMAN
77840,COLLEGE STATION,BRAZOS
77841,COLLEGE STATION,BRAZOS
77842,COLLEGE STATION,BRAZOS
77843,COLLEGE STATION,BRAZOS
77844,COLLEGE STATION,BRAZOS
77845,COLLEGE STATION,BRAZOS
76034,COLLEYVILLE,TARRANT
76233,COLLINSVILLE,GRAYSON
75938,COLMESNEIL,TYLER
79512,COLORADO CITY,MITCHELL
78934,COLUMBUS,COLORADO
76442,COMANCHE,COMANCHE
78535,COMBES,CAMERON
78013,COMFORT,KENDALL
75428,COMMERCE,HUNT
75429,COMMERCE,HUNT
75431,COMO,HOPKINS
78838,CONCAN,UVALDE
77850,CONCORD,LEON
77301,CONROE,MONTGOMERY
77302,CONROE,MONTGOMERY
77303,CONROE,MONTGOMERY
77304,CONROE,MONTGOMERY
77305,CONROE,MONTGOMERY
77306,CONROE,MONTGOMERY
77384,CONROE,MONTGOMERY
77385,CONROE,MONTGOMERY
78109,CONVERSE,BEXAR
75558,COOKVILLE,TITUS
76635,COOLIDGE,LIMESTONE
75432,COOPER,DELTA
75121,COPEVILLE,COLLIN
75019,COPPELL,DALLAS
75099,COPPELL,DALLAS
76522,COPPERAS COVE,CORYELL
78401,CORPUS CHRISTI,NUECES
78402,CORPUS CHRISTI,NUECES
